year,in_animation_section,entry
1954,False,"Jack Benny The Jack Benny Program ""Jack Does Christmas Shopping"" (Season 5, Episode 6) (1954) ""Christmas Shopping Show"" (Season 8, Episode 7) (1957) ""Christmas Gift Exchange"" (Season 9, Episode 8) (1958) ""Christmas Show"" (Season 11, Episode 9) (1960) ""Christmas Party"" (Season 12, Episode 10) (1961)"
1954,False,"The Jack Benny Program ""Jack Does Christmas Shopping"" (Season 5, Episode 6) (1954) ""Christmas Shopping Show"" (Season 8, Episode 7) (1957) ""Christmas Gift Exchange"" (Season 9, Episode 8) (1958) ""Christmas Show"" (Season 11, Episode 9) (1960) ""Christmas Party"" (Season 12, Episode 10) (1961)"
1954,False,"""Jack Does Christmas Shopping"" (Season 5, Episode 6) (1954)"
1957,False,"""Christmas Shopping Show"" (Season 8, Episode 7) (1957)"
1958,False,"""Christmas Gift Exchange"" (Season 9, Episode 8) (1958)"
1960,False,"""Christmas Show"" (Season 11, Episode 9) (1960)"
1961,False,"""Christmas Party"" (Season 12, Episode 10) (1961)"
1980,False,"""Christmas in the Holy Land"" (1980)"
1964,False,"""Perry Como's Christmas In Rome"" (1964)"
1952,False,"Jackie Gleason The Jackie Gleason Show ""Christmas Party"" (Season 1, Episode 13) (1952) ""Santa and the Bookies"" (Season 2, Episode 10) (1953) ""Christmas Party"" (1953) ""Santa and the Bookies"" (1954) ""The Poor Soul in Christmas-Land"" (1956) ""Run, Santa, Run"" (1966) ""The Poor Soul in Christmas-Land"" (1966) Cavalcade of Stars Christmas Party (Season 3, Episode 17) (1951)"
1952,False,"The Jackie Gleason Show ""Christmas Party"" (Season 1, Episode 13) (1952) ""Santa and the Bookies"" (Season 2, Episode 10) (1953) ""Christmas Party"" (1953) ""Santa and the Bookies"" (1954) ""The Poor Soul in Christmas-Land"" (1956) ""Run, Santa, Run"" (1966) ""The Poor Soul in Christmas-Land"" (1966)"
1952,False,"""Christmas Party"" (Season 1, Episode 13) (1952)"
1953,False,"""Santa and the Bookies"" (Season 2, Episode 10) (1953)"
1953,False,"""Christmas Party"" (1953)"
1954,False,"""Santa and the Bookies"" (1954)"
1956,False,"""The Poor Soul in Christmas-Land"" (1956)"
1966,False,"""Run, Santa, Run"" (1966)"
1966,False,"""The Poor Soul in Christmas-Land"" (1966)"
1951,False,"Cavalcade of Stars Christmas Party (Season 3, Episode 17) (1951)"
1951,False,"Christmas Party (Season 3, Episode 17) (1951)"
1964,False,"Danny Kaye The Danny Kaye Show ""Christmas Show"" (1964) ""Christmas Show"" (1965) ""Christmas Show"" (1966)"
1964,False,"The Danny Kaye Show ""Christmas Show"" (1964) ""Christmas Show"" (1965) ""Christmas Show"" (1966)"
1964,False,"""Christmas Show"" (1964)"
1965,False,"""Christmas Show"" (1965)"
1966,False,"""Christmas Show"" (1966)"
1984,False,"David Letterman Late Night with David Letterman Christmas with the Lettermans (Season 3 Episode 129) (December 19. 1984) ""Dave Letterman's Old-Fashioned Christmas"" (Season 6 Episode 144) (December 25, 1987)"
1984,False,"Late Night with David Letterman Christmas with the Lettermans (Season 3 Episode 129) (December 19. 1984) ""Dave Letterman's Old-Fashioned Christmas"" (Season 6 Episode 144) (December 25, 1987)"
1984,False,Christmas with the Lettermans (Season 3 Episode 129) (December 19. 1984)
1987,False,"""Dave Letterman's Old-Fashioned Christmas"" (Season 6 Episode 144) (December 25, 1987)"
1967,False,"""Christmas with the Martins and Sinatras"" (1967)"
1968,False,"""Christmas Show"" (December 19, 1968)"
1972,False,"""Christmas Show"" (1972)"
1975,False,"""Dean Martin's California Christmas"" (1975)"
1977,False,"""Dean Martin's Christmas in California"" (1977, 1979)"
1981,False,"""Dean Martin's Christmas at Sea World"" (1981)"
1976,False,"The Osmonds Donny & Marie ""Christmas Show"" (1976–1978)"
1976,False,"Donny & Marie ""Christmas Show"" (1976–1978)"
1976,False,"""Christmas Show"" (1976–1978)"
1950,False,"Frank Sinatra The Frank Sinatra Show (1950) ""Christmas Show"" (1950) The Frank Sinatra Show (1957) ""Happy Holidays with Bing and Frank"" (1957)"
1950,False,"The Frank Sinatra Show (1950) ""Christmas Show"" (1950)"
1950,False,"""Christmas Show"" (1950)"
1957,False,"The Frank Sinatra Show (1957) ""Happy Holidays with Bing and Frank"" (1957)"
1957,False,"""Happy Holidays with Bing and Frank"" (1957)"
1955,False,"Red Skelton The Red Skelton Show ""The Cop and the Anthem"" (1955) ""Freddie and the Yuletide Doll"" (1961, restaged 1962) ""The Plight Before Christmas"" (1964, restaged 1965) ""Christmas Show"" (1966) ""A Christmas Urchin"" (1967) ""Christmas Show"" (1970) "" Freddie the Freeloader's Christmas Dinner "" (1981)"
1955,False,"The Red Skelton Show ""The Cop and the Anthem"" (1955) ""Freddie and the Yuletide Doll"" (1961, restaged 1962) ""The Plight Before Christmas"" (1964, restaged 1965) ""Christmas Show"" (1966) ""A Christmas Urchin"" (1967) ""Christmas Show"" (1970) "" Freddie the Freeloader's Christmas Dinner "" (1981)"
1955,False,"""The Cop and the Anthem"" (1955)"
1961,False,"""Freddie and the Yuletide Doll"" (1961, restaged 1962)"
1964,False,"""The Plight Before Christmas"" (1964, restaged 1965)"
1966,False,"""Christmas Show"" (1966)"
1967,False,"""A Christmas Urchin"" (1967)"
1970,False,"""Christmas Show"" (1970)"
1981,False,""" Freddie the Freeloader's Christmas Dinner "" (1981)"
1968,False,"Ed Sullivan The Ed Sullivan Show ""Christmas Reindeers"" (December 22, 1968) ""Santa Claus Routine with Arthur Godfrey"" (December 24, 1967)"
1968,False,"The Ed Sullivan Show ""Christmas Reindeers"" (December 22, 1968) ""Santa Claus Routine with Arthur Godfrey"" (December 24, 1967)"
1968,False,"""Christmas Reindeers"" (December 22, 1968)"
1967,False,"""Santa Claus Routine with Arthur Godfrey"" (December 24, 1967)"
2002,False,"Aqua Teen Hunger Force "" Mail Order Bride "" (Season 1, Episode 17) (December 22, 2002) "" Cybernetic Ghost of Christmas Past from the Future "" (Season 1, Episode 18) (December 29, 2002) "" T-shirt of the Dead "" (Season 3, Episode 11) (October 10, 2004) "" A PE Christmas "" (Season 7, Episode 1) (December 13, 2009)"
2002,False,""" Mail Order Bride "" (Season 1, Episode 17) (December 22, 2002)"
2002,False,""" Cybernetic Ghost of Christmas Past from the Future "" (Season 1, Episode 18) (December 29, 2002)"
2004,False,""" T-shirt of the Dead "" (Season 3, Episode 11) (October 10, 2004)"
2009,False,""" A PE Christmas "" (Season 7, Episode 1) (December 13, 2009)"
2012,False,"Black Dynamite "" 'A Crisis at Christmas' or 'The Dark Side of the Dark Side of the Moon!' "" (Season 1, Episode 4) (August 5, 2012)"
2012,False,""" 'A Crisis at Christmas' or 'The Dark Side of the Dark Side of the Moon!' "" (Season 1, Episode 4) (August 5, 2012)"
2015,False,"Black Jesus ""A Very Special Christmas In Compton"" (Season 2, Episode 11) (November 27, 2015)"
2015,False,"""A Very Special Christmas In Compton"" (Season 2, Episode 11) (November 27, 2015)"
2005,False,"The Boondocks ""A Huey Freeman Christmas"" (Season 1, Episode 7) (December 18, 2005)"
2005,False,"""A Huey Freeman Christmas"" (Season 1, Episode 7) (December 18, 2005)"
2009,False,"Metalocalypse ""Dethmas"" (Season 3, Episode 4) (December 7, 2009)"
2009,False,"""Dethmas"" (Season 3, Episode 4) (December 7, 2009)"
2019,False,"Mike Tyson Mysteries ""The Christmas Episode"" (Season 4, Episode 11) (December 10, 2019)"
2019,False,"""The Christmas Episode"" (Season 4, Episode 11) (December 10, 2019)"
2005,False,"Moral Orel ""The Best Christmas Ever"" (Season 1, Episode 10) (December 13, 2005)"
2005,False,"""The Best Christmas Ever"" (Season 1, Episode 10) (December 13, 2005)"
2012,False,"NTSF:SD:SUV:: "" Christmas Activity "" (Season 2, Episode 14)]] (December 7, 2012) "" Wreck the Malls "" (Season 3, Episode 12)]] (December 13, 2013)"
2012,False,""" Christmas Activity "" (Season 2, Episode 14)]] (December 7, 2012)"
2013,False,""" Wreck the Malls "" (Season 3, Episode 12)]] (December 13, 2013)"
